time,[phospho]
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,2
61,2
62,3
63,3
64,3
65,3
66,3
67,4
68,5
69,5
70,5
71,6
72,6
73,7
74,8
75,9
76,10
77,10
78,12
79,12
80,13
81,13
82,15
83,16
84,17
85,19
86,21
87,23
88,26
89,27
90,28
91,28
92,28
93,28
94,28
95,29
96,30
97,32
98,34
99,34
100,35
101,38
102,38
103,38
104,38
105,39
106,40
107,41
108,44
109,45
110,47
111,47
112,48
113,50
114,51
115,52
116,52
117,56
118,57
119,63
120,64
121,64
122,66
123,70
124,71
125,74
126,74
127,76
128,77
129,78
130,80
131,81
132,83
133,85
134,86
135,89
136,92
137,93
138,96
139,97
140,100
141,102
142,104
143,105
144,106
145,108
146,108
147,110
148,111
149,113
150,115
151,119
152,122
153,122
154,124
155,127
156,129
157,132
158,138
159,139
160,141
161,142
162,144
163,145
164,146
165,146
166,148
167,154
168,154
169,154
170,157
171,158
172,163
173,164
174,167
175,168
176,172
177,173
178,173
179,174
180,177
181,178
182,179
183,181
184,185
185,187
186,188
187,192
188,194
189,195
190,196
191,198
192,202
193,202
194,206
195,208
196,210
197,213
198,218
199,221
200,222
201,223
202,225
203,226
204,227
205,227
206,228
207,229
208,231
209,232
210,236
211,237
212,238
213,239
214,239
215,242
216,244
217,245
218,249
219,249
220,252
221,254
222,256
223,260
224,263
225,267
226,269
227,271
228,274
229,275
230,278
231,281
232,287
233,290
234,290
235,291
236,292
237,293
238,294
239,295
240,297
241,297
242,299
243,300
244,301
245,305
246,306
247,307
248,311
249,314
250,315
251,316
252,319
253,320
254,321
255,322
256,323
257,324
258,328
259,330
260,331
261,333
262,336
263,337
264,337
265,340
266,341
267,341
268,343
269,345
270,346
271,348
272,350
273,350
274,352
275,354
276,356
277,357
278,362
279,363
