time,[phospho]
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,2
139,2
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,5
163,5
164,5
165,5
166,5
167,6
168,6
169,6
170,6
171,6
172,6
173,7
174,7
175,8
176,8
177,9
178,9
179,9
180,9
181,10
182,11
183,11
184,12
185,12
186,12
187,12
188,12
189,12
190,12
191,13
192,13
193,14
194,14
195,14
196,14
197,14
198,14
199,14
200,14
201,15
202,15
203,16
204,17
205,20
206,20
207,20
208,20
209,20
210,21
211,22
212,24
213,24
214,24
215,24
216,24
217,25
218,25
219,25
220,25
221,26
222,26
223,27
224,28
225,28
226,28
227,29
228,30
229,31
230,31
231,32
232,32
233,35
234,35
235,36
236,36
237,36
238,36
239,36
240,36
241,37
242,37
243,37
244,39
245,40
246,42
247,43
248,43
249,44
250,44
251,44
252,44
253,45
254,45
255,45
256,45
257,46
258,46
259,47
260,47
261,47
262,47
263,48
264,48
265,48
266,50
267,50
268,51
269,51
270,51
271,51
272,52
273,52
274,54
275,54
276,54
277,54
